symbol,reaction_date,trade_long,trade_long_tier,year,quarter
PAYC,2023-05-02,True,D7_CORE,2023,2
AME,2023-05-02,True,D7_CORE,2023,2
FTNT,2023-05-04,True,D7_CORE,2023,2
PODD,2023-05-04,True,D7_CORE,2023,2
HST,2023-05-05,True,D7_CORE,2023,2
TDG,2023-05-09,True,D7_CORE,2023,2
TPR,2023-05-11,True,D7_CORE,2023,2
SNPS,2023-05-17,True,D7_CORE,2023,2
NVDA,2023-05-24,True,D7_CORE,2023,2
LEN,2023-06-15,True,D7_CORE,2023,2
UAL,2023-07-20,True,D7_CORE,2023,3
GE,2023-07-25,True,D7_CORE,2023,3
LRCX,2023-07-26,True,D7_CORE,2023,3
MDLZ,2023-07-27,True,D7_CORE,2023,3
CINF,2023-07-28,True,D7_CORE,2023,3
SBAC,2023-07-31,True,D7_CORE,2023,3
ANET,2023-07-31,True,D7_CORE,2023,3
FICO,2023-08-02,True,D7_CORE,2023,3
IR,2023-08-03,True,D7_CORE,2023,3
PSA,2023-08-03,True,D7_CORE,2023,3
DVA,2023-08-03,True,D7_CORE,2023,3
APTV,2023-08-03,True,D7_CORE,2023,3
AMGN,2023-08-03,True,D7_CORE,2023,3
PANW,2023-08-18,True,D7_CORE,2023,3
HPE,2023-08-29,True,D7_CORE,2023,3
DXCM,2023-10-26,True,D7_CORE,2023,4
AOS,2023-10-26,True,D7_CORE,2023,4
AMT,2023-10-26,True,D7_CORE,2023,4
DECK,2023-10-26,True,D7_CORE,2023,4
MAS,2023-10-26,True,D7_CORE,2023,4
EG,2023-10-28,True,D7_CORE,2023,4
ANET,2023-10-30,True,D7_CORE,2023,4
WELL,2023-10-31,True,D7_CORE,2023,4
EXPE,2023-11-02,True,D7_CORE,2023,4
LYV,2023-11-02,True,D7_CORE,2023,4
PWR,2023-11-02,True,D7_CORE,2023,4
CI,2023-11-02,True,D7_CORE,2023,4
CEG,2023-11-06,True,D7_CORE,2023,4
AXON,2023-11-07,True,D7_CORE,2023,4
INTU,2023-11-28,True,D7_CORE,2023,4
CCL,2023-12-21,True,D7_CORE,2023,4
WRB,2024-01-24,True,D7_CORE,2024,1
HCA,2024-01-30,True,D7_CORE,2024,1
DECK,2024-02-01,True,D7_CORE,2024,1
J,2024-02-06,True,D7_CORE,2024,1
DVA,2024-02-13,True,D7_CORE,2024,1
APP,2024-02-14,True,D7_CORE,2024,1
WELL,2024-02-14,True,D7_CORE,2024,1
NVDA,2024-02-21,True,D7_CORE,2024,1
MU,2024-03-20,True,D7_CORE,2024,1
OMC,2024-04-16,True,D7_CORE,2024,2
PHM,2024-04-23,True,D7_CORE,2024,2
CSGP,2024-04-23,True,D7_CORE,2024,2
CMG,2024-04-24,True,D7_CORE,2024,2
GOOGL,2024-04-25,True,D7_CORE,2024,2
LLY,2024-04-30,True,D7_CORE,2024,2
VRSK,2024-05-01,True,D7_CORE,2024,2
KIM,2024-05-02,True,D7_CORE,2024,2
XYL,2024-05-02,True,D7_CORE,2024,2
CRWD,2024-06-04,True,D7_CORE,2024,2
HPE,2024-06-04,True,D7_CORE,2024,2
CCL,2024-06-25,True,D7_CORE,2024,2
CBRE,2024-07-25,True,D7_CORE,2024,3
DOV,2024-07-25,True,D7_CORE,2024,3
BKR,2024-07-26,True,D7_CORE,2024,3
ON,2024-07-29,True,D7_CORE,2024,3
ANET,2024-07-30,True,D7_CORE,2024,3
CMI,2024-08-01,True,D7_CORE,2024,3
IRM,2024-08-01,True,D7_CORE,2024,3
REG,2024-08-02,True,D7_CORE,2024,3
PLTR,2024-08-05,True,D7_CORE,2024,3
FTNT,2024-08-06,True,D7_CORE,2024,3
AXON,2024-08-06,True,D7_CORE,2024,3
TDG,2024-08-06,True,D7_CORE,2024,3
UBER,2024-08-06,True,D7_CORE,2024,3
DVN,2024-08-07,True,D7_CORE,2024,3
EQIX,2024-08-07,True,D7_CORE,2024,3
DDOG,2024-08-08,True,D7_CORE,2024,3
TTD,2024-08-08,True,D7_CORE,2024,3
MU,2024-09-25,True,D7_CORE,2024,3
ISRG,2024-10-17,True,D7_CORE,2024,4
PM,2024-10-22,True,D7_CORE,2024,4
BKR,2024-10-23,True,D7_CORE,2024,4
RJF,2024-10-23,True,D7_CORE,2024,4
CBRE,2024-10-24,True,D7_CORE,2024,4
TYL,2024-10-24,True,D7_CORE,2024,4
FFIV,2024-10-28,True,D7_CORE,2024,4
CDNS,2024-10-28,True,D7_CORE,2024,4
V,2024-10-29,True,D7_CORE,2024,4
RCL,2024-10-29,True,D7_CORE,2024,4
GLW,2024-10-29,True,D7_CORE,2024,4
PAYC,2024-10-30,True,D7_CORE,2024,4
EQT,2024-10-30,True,D7_CORE,2024,4
GDDY,2024-10-30,True,D7_CORE,2024,4
HUM,2024-10-30,True,D7_CORE,2024,4
PLTR,2024-11-04,True,D7_CORE,2024,4
TTWO,2024-11-06,True,D7_CORE,2024,4
MCK,2024-11-06,True,D7_CORE,2024,4
VST,2024-11-07,True,D7_CORE,2024,4
WMT,2024-11-19,True,D7_CORE,2024,4
AVGO,2024-12-12,True,D7_CORE,2024,4
TECH,2025-02-05,True,D7_CORE,2025,1
MGM,2025-02-12,True,D7_CORE,2025,1
HOOD,2025-02-12,True,D7_CORE,2025,1
CBRE,2025-02-13,True,D7_CORE,2025,1
INTU,2025-02-25,True,D7_CORE,2025,1
AVGO,2025-03-06,True,D7_CORE,2025,1
CTAS,2025-03-26,True,D7_CORE,2025,1
PM,2025-04-23,True,D7_CORE,2025,2
LRCX,2025-04-23,True,D7_CORE,2025,2
TXN,2025-04-23,True,D7_CORE,2025,2
WELL,2025-04-29,True,D7_CORE,2025,2
STX,2025-04-29,True,D7_CORE,2025,2
ADP,2025-04-30,True,D7_CORE,2025,2
AMZN,2025-05-01,True,D7_CORE,2025,2
HWM,2025-05-01,True,D7_CORE,2025,2
KIM,2025-05-01,True,D7_CORE,2025,2
CBOE,2025-05-02,True,D7_CORE,2025,2
CSCO,2025-05-14,True,D7_CORE,2025,2
INTU,2025-05-22,True,D7_CORE,2025,2
CFG,2025-07-17,True,D7_CORE,2025,3
IBKR,2025-07-17,True,D7_CORE,2025,3
TEL,2025-07-23,True,D7_CORE,2025,3
HIG,2025-07-29,True,D7_CORE,2025,3
CBRE,2025-07-29,True,D7_CORE,2025,3
SPGI,2025-07-31,True,D7_CORE,2025,3
AXON,2025-08-04,True,D7_CORE,2025,3
PLTR,2025-08-04,True,D7_CORE,2025,3
J,2025-08-05,True,D7_CORE,2025,3
PAYC,2025-08-06,True,D7_CORE,2025,3
DASH,2025-08-06,True,D7_CORE,2025,3
BDX,2025-08-07,True,D7_CORE,2025,3
MNST,2025-08-07,True,D7_CORE,2025,3
MSI,2025-08-07,True,D7_CORE,2025,3
APA,2025-08-07,True,D7_CORE,2025,3
ADI,2025-08-20,True,D7_CORE,2025,3
AVGO,2025-09-04,True,D7_CORE,2025,3
BSX,2025-10-22,True,D7_CORE,2025,4
APH,2025-10-22,True,D7_CORE,2025,4
CB,2025-10-22,True,D7_CORE,2025,4
