symbol,reaction_date,trade_long,trade_long_tier
PM,2024-10-22,True,D7_CORE
BKR,2024-10-23,True,D7_CORE
RJF,2024-10-23,True,D7_CORE
CBRE,2024-10-24,True,D7_CORE
TYL,2024-10-24,True,D7_CORE
FFIV,2024-10-28,True,D7_CORE
CDNS,2024-10-28,True,D7_CORE
V,2024-10-29,True,D7_CORE
RCL,2024-10-29,True,D7_CORE
GLW,2024-10-29,True,D7_CORE
PAYC,2024-10-30,True,D7_CORE
EQT,2024-10-30,True,D7_CORE
GDDY,2024-10-30,True,D7_CORE
HUM,2024-10-30,True,D7_CORE
PLTR,2024-11-04,True,D7_CORE
TTWO,2024-11-06,True,D7_CORE
MCK,2024-11-06,True,D7_CORE
VST,2024-11-07,True,D7_CORE
WMT,2024-11-19,True,D7_CORE
AVGO,2024-12-12,True,D7_CORE
TECH,2025-02-05,True,D7_CORE
MGM,2025-02-12,True,D7_CORE
HOOD,2025-02-12,True,D7_CORE
CBRE,2025-02-13,True,D7_CORE
INTU,2025-02-25,True,D7_CORE
AVGO,2025-03-06,True,D7_CORE
CTAS,2025-03-26,True,D7_CORE
PM,2025-04-23,True,D7_CORE
LRCX,2025-04-23,True,D7_CORE
TXN,2025-04-23,True,D7_CORE
WELL,2025-04-29,True,D7_CORE
STX,2025-04-29,True,D7_CORE
ADP,2025-04-30,True,D7_CORE
AMZN,2025-05-01,True,D7_CORE
HWM,2025-05-01,True,D7_CORE
KIM,2025-05-01,True,D7_CORE
CBOE,2025-05-02,True,D7_CORE
CSCO,2025-05-14,True,D7_CORE
INTU,2025-05-22,True,D7_CORE
CFG,2025-07-17,True,D7_CORE
IBKR,2025-07-17,True,D7_CORE
TEL,2025-07-23,True,D7_CORE
HIG,2025-07-29,True,D7_CORE
CBRE,2025-07-29,True,D7_CORE
SPGI,2025-07-31,True,D7_CORE
AXON,2025-08-04,True,D7_CORE
PLTR,2025-08-04,True,D7_CORE
J,2025-08-05,True,D7_CORE
PAYC,2025-08-06,True,D7_CORE
DASH,2025-08-06,True,D7_CORE
BDX,2025-08-07,True,D7_CORE
MNST,2025-08-07,True,D7_CORE
MSI,2025-08-07,True,D7_CORE
APA,2025-08-07,True,D7_CORE
ADI,2025-08-20,True,D7_CORE
AVGO,2025-09-04,True,D7_CORE
BSX,2025-10-22,True,D7_CORE
APH,2025-10-22,True,D7_CORE
CB,2025-10-22,True,D7_CORE
