,nav
2017-12-19,139195.17854412575
2017-12-20,137996.1090050476
2017-12-21,137902.2541650476
2017-12-22,137681.54416504758
2017-12-26,136673.6541650476
2017-12-27,136868.10416504758
2017-12-28,136637.3041650476
2017-12-29,136083.5641650476
2018-01-02,137665.6141650476
2018-01-03,138395.7441650476
2018-01-04,139579.2541650476
2018-01-05,139306.08685041836
2018-01-08,139419.38319041833
2018-01-09,137929.10319041833
2018-01-10,138028.89319041834
2018-01-11,137838.50319041836
2018-01-12,137946.94319041836
2018-01-16,138098.70319041834
2018-01-17,139095.44319041836
2018-01-18,138835.97319041833
2018-01-19,138629.98319041834
2018-01-22,138799.76319041834
2018-01-23,139338.58319041834
2018-01-24,138724.81319041835
2018-01-25,138434.94319041836
2018-01-26,139535.67138681113
2018-01-29,139129.88138681112
2018-01-30,138030.0613868111
2018-01-31,139364.2113868111
2018-02-01,138361.2789820015
2018-02-02,134536.55016189077
2018-02-05,130475.58058221507
2018-02-06,131371.01565854414
2018-02-07,130899.11602647702
2018-02-08,123486.38869934044
2018-02-09,127293.42191298248
2018-02-12,129495.80340153321
2018-02-13,129668.28109996211
2018-02-14,131708.61500736687
2018-02-15,134780.42512284478
2018-02-16,135907.68365849054
2018-02-20,136699.56212486164
2018-02-21,134079.51797910835
2018-02-22,133942.92832624627
2018-02-23,138663.64228299054
2018-02-26,140741.05984781985
2018-02-27,139493.66101921222
2018-02-28,135973.7608533799
2018-03-01,132545.4176035831
2018-03-02,138216.34663872677
2018-03-05,141995.27795697405
2018-03-06,142521.23155648762
2018-03-07,142623.71743542963
2018-03-08,144969.03559196193
2018-03-09,148314.5460242457
2018-03-12,149586.91525251337
2018-03-13,147682.88542757358
2018-03-14,146386.06924791343
2018-03-15,145361.5749084128
2018-03-16,145756.31493324344
2018-03-19,141814.6926105037
2018-03-20,142647.5805039824
2018-03-21,143199.64617315002
2018-03-22,138814.08361315
2018-03-23,136509.60361315002
2018-03-26,140180.07211315003
2018-03-27,139078.36211315
2018-03-28,139269.43211315002
2018-03-29,139822.45211315004
2018-04-02,134595.27211315001
2018-04-03,135874.34233315
2018-04-04,137264.30233315
2018-04-05,138526.63893315
2018-04-06,137184.29893315
2018-04-09,136601.86893315002
2018-04-10,137539.75893315
2018-04-11,137240.87893315
2018-04-12,136658.62135315
2018-04-13,136297.00135315
2018-04-16,136455.76135315
2018-04-17,136605.70135315
2018-04-18,136976.14135315001
2018-04-19,136835.02135315002
2018-04-20,136702.72135315
2018-04-23,136773.28135315
2018-04-24,136649.80135315002
2018-04-25,136773.28135315
2018-04-26,136640.98135315
2018-04-27,136886.91936268908
2018-04-30,136788.4293626891
2018-05-01,136577.3793626891
2018-05-02,136275.1563165969
2018-05-03,138315.46856108587
2018-05-04,140039.2485610859
2018-05-07,140739.43856108587
2018-05-08,140743.0485610859
2018-05-09,141411.19856108588
2018-05-10,142720.74856108587
2018-05-11,143070.65856108587
2018-05-14,142956.47856108588
2018-05-15,143062.77856108587
2018-05-16,142525.89856108587
2018-05-17,142866.41856108588
2018-05-18,143000.33856108587
2018-05-21,143852.7985610859
2018-05-22,142749.62856108588
2018-05-23,142918.7085610859
2018-05-24,144933.60895318055
2018-05-25,145129.09247435984
2018-05-29,144102.7359582823
2018-05-30,145623.13940493908
2018-05-31,145465.1828143212
2018-06-01,147479.31618641983
2018-06-04,149148.77952122613
2018-06-05,151058.07281873116
2018-06-06,152530.10607892612
2018-06-07,149404.25930180206
2018-06-08,151111.33248735013
2018-06-11,152279.6587873501
2018-06-12,154846.7787873501
2018-06-13,155368.23878735013
2018-06-14,156493.05614735011
2018-06-15,156598.27702735012
2018-06-18,156780.0670273501
2018-06-19,156668.7670273501
2018-06-20,156768.9370273501
2018-06-21,156616.8270273501
2018-06-22,156323.73702735011
2018-06-25,156316.3170273501
2018-06-26,156683.6070273501
2018-06-27,156093.71702735013
2018-06-28,156453.58702735012
2018-06-29,156906.20702735012
2018-07-02,157147.3570273501
2018-07-03,156446.1670273501
2018-07-05,156627.95702735012
2018-07-06,156995.24702735012
2018-07-09,157166.3596473501
2018-07-10,157166.3596473501
2018-07-11,157166.3596473501
2018-07-12,157166.3596473501
2018-07-13,157166.3596473501
2018-07-16,157166.3596473501
2018-07-17,157166.3596473501
2018-07-18,157166.3596473501
2018-07-19,157166.3596473501
2018-07-20,157166.3596473501
2018-07-23,157166.3596473501
2018-07-24,157166.3596473501
2018-07-25,157166.3596473501
2018-07-26,156927.422372801
2018-07-27,155119.74461728995
2018-07-30,154381.36461728995
2018-07-31,154538.00461728996
2018-08-01,155470.31950706954
2018-08-02,158669.20539573446
2018-08-03,158588.53108273345
2018-08-06,159095.8153853722
2018-08-07,160365.9983033211
2018-08-08,159977.28512683162
2018-08-09,158696.23105649967
2018-08-10,158498.26154722745
2018-08-13,157497.77611664345
2018-08-14,160026.29476333785
2018-08-15,151941.08748590056
2018-08-16,152294.724282921
2018-08-17,152589.67515298835
2018-08-20,152554.61009469145
2018-08-21,155008.88910661876
2018-08-22,156757.02218735844
2018-08-23,157078.25933549827
2018-08-24,157444.79054962576
2018-08-27,159692.87582832808
2018-08-28,158862.16517019196
2018-08-29,160425.5985738039
2018-08-30,159654.89603775006
2018-08-31,159698.79756061616
2018-09-04,158789.77314098782
2018-09-05,156048.58277744992
2018-09-06,155141.69646858738
2018-09-07,154137.63347329895
2018-09-10,153192.13302626877
2018-09-11,155450.21190556078
2018-09-12,157110.12911077638
2018-09-13,156525.66557077633
2018-09-14,157376.96493077636
2018-09-17,156553.49493077636
2018-09-18,157276.56493077637
2018-09-19,158041.15493077636
2018-09-20,157847.67749077635
2018-09-21,158276.84309077635
2018-09-24,158276.84309077635
2018-09-25,158276.84309077635
2018-09-26,158276.84309077635
2018-09-27,158276.84309077635
2018-09-28,158276.84309077635
2018-10-01,158276.84309077635
2018-10-02,158276.84309077635
2018-10-03,158276.84309077635
2018-10-04,158276.84309077635
2018-10-05,158276.84309077635
2018-10-08,158276.84309077635
2018-10-09,158276.84309077635
2018-10-10,158276.84309077635
2018-10-11,158276.84309077635
2018-10-12,158276.84309077635
2018-10-15,158276.84309077635
2018-10-16,158276.84309077635
2018-10-17,157401.76745951382
2018-10-18,156655.18745951384
2018-10-19,156406.32745951382
2018-10-22,156536.16745951382
2018-10-23,155995.16745951382
2018-10-24,154566.79279017515
2018-10-25,156562.03523506492
2018-10-26,153198.7473793535
2018-10-29,151784.9873793535
2018-10-30,153374.94737935349
2018-10-31,155803.6673793535
2018-11-01,159809.8873793535
2018-11-02,160189.79090640758
2018-11-05,158629.2309064076
2018-11-06,160511.3709064076
2018-11-07,164632.7309064076
2018-11-08,163805.6175997944
2018-11-09,163083.5175997944
2018-11-12,157982.1975997944
2018-11-13,158096.89759979438
2018-11-14,158833.51759979437
2018-11-15,162061.05759979438
2018-11-16,162212.21759979439
2018-11-19,156258.45759979438
2018-11-20,154982.95759979438
2018-11-21,154681.55759979438
2018-11-23,155883.4975997944
2018-11-26,159425.1775997944
2018-11-27,160574.23759979437
2018-11-28,165191.3575997944
2018-11-29,164256.81471979438
2018-11-30,164808.13471979438
2018-12-03,169826.29471979436
2018-12-04,163299.67471979442
2018-12-06,163628.29471979442
2018-12-07,152710.72907518904
2018-12-10,155135.59037370214
2018-12-11,156266.12581370218
2018-12-12,159487.87581370218
2018-12-13,158381.99581370217
2018-12-14,156192.1658137022
2018-12-17,153909.83581370217
2018-12-18,152979.12445370218
2018-12-19,151177.71445370218
2018-12-20,149329.8344537022
2018-12-21,148400.40445370215
2018-12-24,145721.01845370219
2018-12-26,150604.8184537022
2018-12-27,151075.38845370218
2018-12-28,150711.16845370218
2018-12-31,151368.88845370218
2019-01-02,151942.8184537022
2019-01-03,149087.97845370218
2019-01-04,151357.01845370219
2019-01-07,154631.63845370218
2019-01-08,155267.41845370218
2019-01-09,156991.08845370216
2019-01-10,156049.85845370218
2019-01-11,156990.90845370217
2019-01-14,157665.7084537022
2019-01-15,158956.59845370217
2019-01-16,158976.78845370217
2019-01-17,160175.27845370217
2019-01-18,162985.22845370218
2019-01-22,161900.3784537022
2019-01-23,161643.14935370217
2019-01-24,161643.14935370217
2019-01-25,161643.14935370217
2019-01-28,161643.14935370217
2019-01-29,161643.14935370217
2019-01-30,161643.14935370217
2019-01-31,161643.14935370217
2019-02-01,161643.14935370217
2019-02-04,161643.14935370217
2019-02-05,161643.14935370217
2019-02-06,161643.14935370217
2019-02-07,161643.14935370217
2019-02-08,161643.14935370217
2019-02-11,161643.14935370217
2019-02-12,161643.14935370217
2019-02-13,161643.14935370217
2019-02-14,161643.14935370217
2019-02-15,161643.14935370217
2019-02-19,161643.14935370217
2019-02-20,161643.14935370217
2019-02-21,161643.14935370217
2019-02-22,161643.14935370217
2019-02-25,161643.14935370217
2019-02-26,161643.14935370217
2019-02-27,161643.14935370217
2019-02-28,161643.14935370217
2019-03-01,161643.14935370217
2019-03-04,161643.14935370217
2019-03-05,161643.14935370217
2019-03-06,161643.14935370217
2019-03-07,161643.14935370217
2019-03-08,161643.14935370217
2019-03-11,161643.14935370217
2019-03-12,161643.14935370217
2019-03-13,161643.14935370217
2019-03-14,161643.14935370217
2019-03-15,161643.14935370217
2019-03-18,161643.14935370217
2019-03-19,161643.14935370217
2019-03-20,161643.14935370217
2019-03-21,161643.14935370217
2019-03-22,161643.14935370217
2019-03-25,161643.14935370217
2019-03-26,161643.14935370217
2019-03-27,161643.14935370217
2019-03-28,161643.14935370217
2019-03-29,161643.14935370217
2019-04-01,161643.14935370217
2019-04-02,161643.14935370217
2019-04-03,161643.14935370217
2019-04-04,161643.14935370217
2019-04-05,161643.14935370217
2019-04-08,161643.14935370217
2019-04-09,161643.14935370217
2019-04-10,161643.14935370217
2019-04-11,161643.14935370217
2019-04-12,161643.14935370217
2019-04-15,161643.14935370217
2019-04-16,161643.14935370217
2019-04-17,161643.14935370217
2019-04-18,161643.14935370217
2019-04-22,161643.14935370217
2019-04-23,161643.14935370217
2019-04-24,161643.14935370217
2019-04-25,161643.14935370217
2019-04-26,161643.14935370217
2019-04-29,161643.14935370217
2019-04-30,161643.14935370217
2019-05-01,161643.14935370217
2019-05-02,161643.14935370217
2019-05-03,161643.14935370217
2019-05-06,161643.14935370217
2019-05-07,161643.14935370217
2019-05-08,161643.14935370217
2019-05-09,161643.14935370217
2019-05-10,161643.14935370217
2019-05-13,161643.14935370217
2019-05-14,161643.14935370217
2019-05-15,161643.14935370217
2019-05-16,161643.14935370217
2019-05-17,161643.14935370217
2019-05-20,161643.14935370217
2019-05-21,161643.14935370217
2019-05-22,161643.14935370217
2019-05-23,161643.14935370217
2019-05-24,161643.14935370217
2019-05-28,161643.14935370217
2019-05-29,161643.14935370217
2019-05-30,161643.14935370217
2019-05-31,161643.14935370217
2019-06-03,161643.14935370217
2019-06-04,161643.14935370217
2019-06-05,161643.14935370217
2019-06-06,161643.14935370217
2019-06-07,161643.14935370217
2019-06-10,161643.14935370217
2019-06-11,161643.14935370217
2019-06-12,161643.14935370217
2019-06-13,161643.14935370217
2019-06-14,161643.14935370217
2019-06-17,161643.14935370217
2019-06-18,161643.14935370217
2019-06-19,161643.14935370217
2019-06-20,161643.14935370217
2019-06-21,161643.14935370217
2019-06-24,161643.14935370217
2019-06-25,161643.14935370217
2019-06-26,161643.14935370217
2019-06-27,161643.14935370217
2019-06-28,161643.14935370217
2019-07-01,161643.14935370217
2019-07-02,161643.14935370217
2019-07-03,161643.14935370217
2019-07-05,161643.14935370217
2019-07-08,161643.14935370217
2019-07-09,161643.14935370217
2019-07-10,161643.14935370217
2019-07-11,161643.14935370217
2019-07-12,161643.14935370217
2019-07-15,161643.14935370217
2019-07-16,161643.14935370217
2019-07-17,161643.14935370217
2019-07-18,161643.14935370217
2019-07-19,161643.14935370217
2019-07-22,161643.14935370217
2019-07-23,161643.14935370217
2019-07-24,161643.14935370217
2019-07-25,161643.14935370217
2019-07-26,161643.14935370217
2019-07-29,161643.14935370217
2019-07-30,161643.14935370217
2019-07-31,161643.14935370217
2019-08-01,161643.14935370217
2019-08-02,161643.14935370217
2019-08-05,161643.14935370217
2019-08-06,161643.14935370217
2019-08-07,161643.14935370217
2019-08-08,161643.14935370217
2019-08-09,161643.14935370217
2019-08-12,161643.14935370217
2019-08-13,161643.14935370217
2019-08-14,161643.14935370217
2019-08-15,161643.14935370217
2019-08-16,161643.14935370217
2019-08-19,161643.14935370217
2019-08-20,161643.14935370217
2019-08-21,161643.14935370217
2019-08-22,161643.14935370217
2019-08-23,161643.14935370217
2019-08-26,161643.14935370217
2019-08-27,161643.14935370217
2019-08-28,161643.14935370217
2019-08-29,161643.14935370217
2019-08-30,161643.14935370217
2019-09-03,161643.14935370217
2019-09-04,161643.14935370217
2019-09-05,161643.14935370217
2019-09-06,161643.14935370217
2019-09-09,161643.14935370217
2019-09-10,161643.14935370217
2019-09-11,161643.14935370217
2019-09-12,161643.14935370217
2019-09-13,161643.14935370217
2019-09-16,161643.14935370217
2019-09-17,161643.14935370217
2019-09-18,161643.14935370217
2019-09-19,161643.14935370217
2019-09-20,161643.14935370217
2019-09-23,161643.14935370217
2019-09-24,161643.14935370217
2019-09-25,161643.14935370217
2019-09-26,161643.14935370217
2019-09-27,161643.14935370217
2019-09-30,161643.14935370217
2019-10-01,161643.14935370217
2019-10-02,161643.14935370217
2019-10-03,161839.381558111
2019-10-04,162293.121558111
2019-10-07,162219.041558111
2019-10-08,162131.071558111
2019-10-09,162075.511558111
2019-10-10,161996.80155811098
2019-10-11,161844.011558111
2019-10-14,162056.99155811098
2019-10-15,162404.24155811098
2019-10-16,163101.45454408292
2019-10-17,163302.09454408294
2019-10-18,163269.87454408294
2019-10-21,163467.00454408294
2019-10-22,163540.37454408294
2019-10-23,163972.55454408293
2019-10-24,163967.45454408292
2019-10-25,164201.77454408293
2019-10-28,163894.35454408295
2019-10-29,163499.95454408292
2019-10-30,163880.11454408293
2019-10-31,163292.54454408295
2019-11-01,164333.38454408292
2019-11-04,164048.07454408292
2019-11-05,163962.82454408292
2019-11-06,164787.00454408294
2019-11-07,164837.9980310569
2019-11-08,163513.48803105688
2019-11-11,163846.1180310569
2019-11-12,163284.6880310569
2019-11-13,163627.69803105688
2019-11-14,163518.66879105687
2019-11-15,164052.18879105686
2019-11-18,164199.86879105688
2019-11-19,164216.9087910569
2019-11-20,164412.06879105687
2019-11-21,163945.58879105689
2019-11-22,164082.58879105689
2019-11-25,164571.7887910569
2019-11-26,164179.9087910569
2019-11-27,163598.12359105688
2019-11-29,163520.52359105687
2019-12-02,163233.40359105688
2019-12-03,163342.04359105686
2019-12-04,163710.64359105687
2019-12-05,164013.28359105688
2019-12-06,163885.24359105687
2019-12-09,163683.48359105687
2019-12-10,163380.84359105688
2019-12-11,163431.28359105688
2019-12-12,163997.76359105686
2019-12-13,163858.08359105687
2019-12-16,164137.44359105686
2019-12-17,163947.32359105686
2019-12-18,163951.20359105687
2019-12-19,164335.32359105686
2019-12-20,164456.43391105687
2019-12-23,164456.43391105687
2019-12-24,164456.43391105687
2019-12-26,164456.43391105687
2019-12-27,164456.43391105687
2019-12-30,164456.43391105687
2019-12-31,164456.43391105687
2020-01-02,164456.43391105687
2020-01-03,164456.43391105687
2020-01-06,164456.43391105687
2020-01-07,164456.43391105687
2020-01-08,164456.43391105687
2020-01-09,164456.43391105687
2020-01-10,164456.43391105687
2020-01-13,164456.43391105687
2020-01-14,164456.43391105687
2020-01-15,164456.43391105687
2020-01-16,164456.43391105687
2020-01-17,164456.43391105687
2020-01-21,164456.43391105687
