date,nav
2022-09-07,151766.18436630646
2022-09-08,152450.20910534944
2022-09-09,152813.6250181473
2022-09-12,152745.24501814728
2022-09-13,152092.73631814728
2022-09-14,152471.30631814728
2022-09-15,151584.8763181473
2022-09-16,151286.4663181473
2022-09-19,151374.17631814728
2022-09-20,151167.02351814727
2022-09-21,150880.2335181473
2022-09-22,150485.88001314728
2022-09-23,150485.88001314728
2022-09-26,150485.88001314728
2022-09-27,150485.88001314728
2022-09-28,150485.88001314728
2022-09-29,150485.88001314728
2022-09-30,150485.88001314728
2022-10-03,150485.88001314728
2022-10-04,150485.88001314728
2022-10-05,150485.88001314728
2022-10-06,150485.88001314728
2022-10-07,150485.88001314728
2022-10-10,150485.88001314728
2022-10-11,150485.88001314728
2022-10-12,150485.88001314728
2022-10-13,150485.88001314728
2022-10-14,150485.88001314728
2022-10-17,150485.88001314728
2022-10-18,150485.88001314728
2022-10-19,150485.88001314728
2022-10-20,150485.88001314728
2022-10-21,150485.88001314728
2022-10-24,150485.88001314728
2022-10-25,150485.88001314728
2022-10-26,150485.88001314728
2022-10-27,150485.88001314728
2022-10-28,151268.09603235673
2022-10-31,151485.13334024628
2022-11-01,151824.07059488492
2022-11-02,150835.2891082628
2022-11-03,151642.86618164112
2022-11-04,152493.30636657763
2022-11-07,152647.33204284718
2022-11-08,152732.87975891161
2022-11-09,152151.59425659227
2022-11-10,155359.41289367725
2022-11-11,154722.74395324755
2022-11-14,153761.67198974657
2022-11-15,154777.41856262257
2022-11-16,154829.4378338628
2022-11-17,154466.4895184331
2022-11-18,155188.32041259814
2022-11-21,155452.51975830126
2022-11-22,155785.8908038335
2022-11-23,156043.81437255908
2022-11-25,156313.42305847217
2022-11-28,154956.98420654348
2022-11-29,155305.34566040087
2022-11-30,156613.9763684087
2022-12-01,156664.93497924856
2022-12-02,156585.9577154546
2022-12-05,155219.74042724658
2022-12-06,154770.0810711675
2022-12-07,155030.29974548388
2022-12-08,155516.4292816167
2022-12-09,154933.1398370366
2022-12-12,155600.7467155608
2022-12-13,156057.7510354436
2022-12-14,155974.41636747486
2022-12-15,155369.36364852954
2022-12-16,154960.36931185963
2022-12-19,154960.36931185963
2022-12-20,154960.36931185963
2022-12-21,154960.36931185963
